id,identificador,autor
,LwfqpFRFols,Eliane Brum
,sRDDyIpB9vo,Abdul-Halim
,ERrYhBvg9as,Ilana Katz
,LQrfBUhKMec,Ana Rosa Cyrus
,_Mq1wgkoXx4,Mariana Belmont
,bqjyBPdmOoM,Stuart Basden
,exeMsGhaJA8,Paul Angmes
,hLy4dzN4xGY,Béa Meira
,j2h9ZajJdWI,Gabriel Quintana
,F2s1xkn96kk,Karina Penha Andrade Costa
,yMQf4m2thWc,Angélica Ferrarez
,LYrNTQwnaHM,Pai Rychelmi de Imbiribá
,t6Zg0xhSQHE,Raquel Rosenberg
,KjwIRSSDAcU,Jacira Roque de Oliveira
,p-AM3upy4_M,Mohammed Rabiu
,1McqktLjoRs,Bruna Lombardi
,_SXo0UvW5lQ,Isis Tatiane dos Santos
,ROsmxFRrLn4,Walter Oliveira
,EscR1oTD3tk,Jonaya de Castro
,d5YybAa3DHQ,Claudia Schapira
,13fLcC6MjqA,Zelia Duncan
,lr50DT-dnF0,Georgette Fadel
,CgrKBf-5EpQ,Bibariwiah Godwin Fuoh 
,RqyXpOd67vg,Gilberto Costa
,xYDEMnSPOhA,Isabel Tica Lemos
,jFeZmUiFeY8,Padre Julio Lancelotti
,YSnRuequDw8,Daniela Silva
,NWJiwzpB1yA,Anita Juruna
,cvkfi1bFaF0,Nils
,IfxtpNikK4s,Chico Catitu
,LPO31Crk250,Robin Ellis-Cockcroft
,Yw19LOX21rM,André Trigueiro
,-c0jW6Oz4l0,Andrew Martin Sugars
,IJK3qEXzafc,Diel Juruna
,lURHX5-RMX4,Gilson Curaia
,hcXKmywuuT0,Carmem Silva
,wPgffrnnbb4,Tatiana Rodrigues Ribeiro 
